�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
73;Accipitriformes;Accipitridae;836343;190851;836343;Espèce;"Circus hudsonius";"(Linnaeus, 1766)";"Circus hudsonius (Linnaeus, 1766)";"Circus hudsonius (Linnaeus, 1766)";;;Chordata;Aves;Animalia;;;;;
74;Accipitriformes;Accipitridae;418714;190851;418714;Espèce;"Circus macrosceles";"Newton, 1863";"Circus macrosceles Newton, 1863";"Circus macrosceles Newton, 1863";"Busard de Madagascar";;Chordata;Aves;Animalia;;;;;
75;Accipitriformes;Accipitridae;2886;0;2884;Espèce;"Accipiter macrourus";"Gmelin, 1771";"Accipiter macrourus Gmelin, 1771";"Circus macrourus (S. G. Gmelin, 1771)";"Busard pâle";"Pallid Harrier";Chordata;Aves;Animalia;;;;;
76;Accipitriformes;Accipitridae;2884;190851;2884;Espèce;"Circus macrourus";"(S. G. Gmelin, 1771)";"Circus macrourus (S. G. Gmelin, 1771)";"Circus macrourus (S. G. Gmelin, 1771)";"Busard pâle";"Pallid Harrier";Chordata;Aves;Animalia;;;;;
77;Accipitriformes;Accipitridae;432596;190851;432596;Espèce;"Circus maillardi";"J. Verreaux, 1862";"Circus maillardi J. Verreaux, 1862";"Circus maillardi J. Verreaux, 1862";"Busard de Maillard";;Chordata;Aves;Animalia;;;;;
78;Accipitriformes;Accipitridae;2887;190851;2887;Espèce;"Circus pygargus";"(Linnaeus, 1758)";"Circus pygargus (Linnaeus, 1758)";"Circus pygargus (Linnaeus, 1758)";"Busard cendré";"Montagu's Harrier";Chordata;Aves;Animalia;;;;;
79;Accipitriformes;Accipitridae;2889;0;2887;Espèce;"Falco pygargus";"Linnaeus, 1758";"Falco pygargus Linnaeus, 1758";"Circus pygargus (Linnaeus, 1758)";"Busard cendré";"Montagu's Harrier";Chordata;Aves;Animalia;;;;;
80;Accipitriformes;Accipitridae;2641;0;836346;Espèce;"Aquila clanga";"Pallas, 1811";"Aquila clanga Pallas, 1811";"Clanga clanga (Pallas, 1811)";"Aigle criard";"Greater Spotted Eagle";Chordata;Aves;Animalia;;;;;
81;Accipitriformes;Accipitridae;836346;836344;836346;Espèce;"Clanga clanga";"(Pallas, 1811)";"Clanga clanga (Pallas, 1811)";"Clanga clanga (Pallas, 1811)";"Aigle criard";"Greater Spotted Eagle";Chordata;Aves;Animalia;;Crochu;marron;jaune;
82;Accipitriformes;Accipitridae;2636;0;836345;Espèce;"Aquila pomarina";"C. L. Brehm, 1831";"Aquila pomarina C. L. Brehm, 1831";"Clanga pomarina (C. L. Brehm, 1831)";"Aigle pomarin";;Chordata;Aves;Animalia;;;;;
83;Accipitriformes;Accipitridae;836345;836344;836345;Espèce;"Clanga pomarina";"(C. L. Brehm, 1831)";"Clanga pomarina (C. L. Brehm, 1831)";"Clanga pomarina (C. L. Brehm, 1831)";"Aigle pomarin";;Chordata;Aves;Animalia;;;;;
84;Accipitriformes;Accipitridae;441888;440375;441888;Espèce;"Elanoides forficatus";"(Linnaeus, 1758)";"Elanoides forficatus (Linnaeus, 1758)";"Elanoides forficatus (Linnaeus, 1758)";"Milan à queue fourchue, Naucler à queue fourchue";"Swallow-tailed Kite";Chordata;Aves;Animalia;;;;;
85;Accipitriformes;Accipitridae;828914;0;441888;Espèce;"Falco forficatus";"Linnaeus, 1758";"Falco forficatus Linnaeus, 1758";"Elanoides forficatus (Linnaeus, 1758)";"Milan à queue fourchue, Naucler à queue fourchue";"Swallow-tailed Kite";Chordata;Aves;Animalia;;;;;
86;Accipitriformes;Accipitridae;828916;441888;828916;Sous-espèce;"Elanoides forficatus yetapa";"(Vieillot, 1818)";"Elanoides forficatus yetapa (Vieillot, 1818)";"Elanoides forficatus yetapa (Vieillot, 1818)";;;Chordata;Aves;Animalia;;;;;
87;Accipitriformes;Accipitridae;828920;0;828916;Espèce;"Milvus yetapa";"Vieillot, 1818";"Milvus yetapa Vieillot, 1818";"Elanoides forficatus yetapa (Vieillot, 1818)";;;Chordata;Aves;Animalia;;;;;
